symbol,name,icon
CDNS,Cadence Design Systems Inc,https://image-cdn.pluang.com/icons/light/global-stocks/cdns.svg
WMB,Williams Companies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/wmb.svg
COF,Capital One Financial Corp.,https://image-cdn.pluang.com/icons/light/global-stocks/cof.svg
BDX,Becton Dickinson and Co,https://image-cdn.pluang.com/icons/light/global-stocks/bdx.svg
DELL,Dell Technologies Inc,https://image-cdn.pluang.com/icons/light/global-stocks/dell.svg
CNI,Canadian National Railway Co.,https://image-cdn.pluang.com/icons/light/global-stocks/cni.svg
EQNR,Equinor ASA,https://image-cdn.pluang.com/icons/light/global-stocks/eqnr.svg
TEAM,Atlassian Corporation PLC,https://image-cdn.pluang.com/icons/light/global-stocks/team.svg
ING,ING Groep NV,https://image-cdn.pluang.com/icons/light/global-stocks/ing.svg
BK,Bank of New York Mellon Corp,https://image-cdn.pluang.com/icons/light/global-stocks/bk.svg
MRVL,Marvell Technology Inc,https://image-cdn.pluang.com/icons/light/global-stocks/mrvl.svg
FDX,FedEx Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/fdx.svg
BNS,Bank of Nova Scotia,https://image-cdn.pluang.com/icons/light/global-stocks/bns.svg
AZO,Autozone Inc,https://image-cdn.pluang.com/icons/light/global-stocks/azo.svg
CNQ,Canadian Natural Resources Ltd.,https://image-cdn.pluang.com/icons/light/global-stocks/cnq.svg
HLT,Hilton Hotels Corporation Common Stock,https://image-cdn.pluang.com/icons/light/global-stocks/hlt.svg
AFL,AFLAC Incorporated,https://image-cdn.pluang.com/icons/light/global-stocks/afl.svg
CSX,CSX Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/csx.svg
KMI,Kinder Morgan Inc,https://image-cdn.pluang.com/icons/light/global-stocks/kmi.svg
RCL,Royal Caribbean Cruises Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/rcl.svg
SLB,Schlumberger NV,https://image-cdn.pluang.com/icons/light/global-stocks/slb.svg
SPG,Simon Property Group Inc,https://image-cdn.pluang.com/icons/light/global-stocks/spg.svg
AEP,American Electric Power Company Inc,https://image-cdn.pluang.com/icons/light/global-stocks/aep.svg
ADSK,Autodesk Inc,https://image-cdn.pluang.com/icons/light/global-stocks/adsk.svg
BCS,Barclays PLC,https://image-cdn.pluang.com/icons/light/global-stocks/bcs.svg
PAYX,"Paychex, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/payx.svg
COIN,"Coinbase Global, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/coin.svg
PSA,Public Storage,https://image-cdn.pluang.com/icons/light/global-stocks/psa.svg
CHTR,Charter Communications Inc,https://image-cdn.pluang.com/icons/light/global-stocks/chtr.svg
MNST,Monster Beverage Corp,https://image-cdn.pluang.com/icons/light/global-stocks/mnst.svg
ALL,Allstate Corp,https://image-cdn.pluang.com/icons/light/global-stocks/all.svg
FCX,Freeport-McMoRan Inc,https://image-cdn.pluang.com/icons/light/global-stocks/fcx.svg
JCI,Johnson Controls International PLC,https://image-cdn.pluang.com/icons/light/global-stocks/jci.svg
SNOW,Snowflake Inc,https://image-cdn.pluang.com/icons/light/global-stocks/snow.svg
TGT,Target Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/tgt.svg
O,Realty Income Corp,https://image-cdn.pluang.com/icons/light/global-stocks/o.svg
NU,Nu Holdings Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/nu.svg
PSX,Phillips 66,https://image-cdn.pluang.com/icons/light/global-stocks/psx.svg
MFC,Manulife Financial Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/mfc.svg
DLR,"Digital Realty Trust, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/dlr.svg
AEM,Agnico Eagle Mines Ltd,https://image-cdn.pluang.com/icons/light/global-stocks/aem.svg
NEM,Newmont Corporation,https://image-cdn.pluang.com/icons/light/global-stocks/nem.svg
AIG,American International Group Inc,https://image-cdn.pluang.com/icons/light/global-stocks/aig.svg
KMB,Kimberly Clark Corp,https://image-cdn.pluang.com/icons/light/global-stocks/kmb.svg
GM,General Motors Company,https://image-cdn.pluang.com/icons/light/global-stocks/gm.svg
D,Dominion Energy Inc,https://image-cdn.pluang.com/icons/light/global-stocks/d.svg
DB,Deutsche Bank AG,https://image-cdn.pluang.com/icons/light/global-stocks/db.svg
HES,Hess Corp.,https://image-cdn.pluang.com/icons/light/global-stocks/hes.svg
YUM,"Yum! Brands, Inc.",https://image-cdn.pluang.com/icons/light/global-stocks/yum.svg
